batch,prawn.id,size,algae.id,colour,day,lws,mws,sws,sum(sml),ppn(sw),ppn(mw),ppn(lw),hue_sam,hue,xcoord,ycoord,jnd
3,B3R4,10.5625,u14,red,10,37183.708,36104.665,25360.868,98649.241,0.257081228,0.365990297,0.376928475,0.485837544,0.346042175,0.00773446,-0.093389375,8.383613355
3,B3R4,10.5625,u5,red,15,32294.052,30315.593,14768.631,77378.276,0.190862756,0.391784291,0.417352953,0.618274488,0.235884279,0.018079774,-0.174490109,3.650025912
3,B3R4,10.5625,u12,red,20,35485.131,33014.58,14941.867,83441.578,0.179069804,0.395661022,0.425269175,0.641860392,0.218130366,0.020936126,-0.188933467,2.726248731
3,B3R4,10.5625,u19,red,25,34146.442,31604.478,14292.731,80043.651,0.178561708,0.394840535,0.426597757,0.642876585,0.217376898,0.022455747,-0.189555755,3.346401833
3,B3R4,10.5625,u15,red,30,45741.756,42239.635,19684.149,107665.54,0.182826826,0.392322697,0.424850477,0.634346347,0.223730823,0.023000614,-0.184332072,3.909142461
4,B4R1,5.90625,u24,red,0,10033.15,8940.628,8868.621,27842.399,0.318529341,0.321115576,0.360355083,0.362941318,0.467414608,0.027746521,-0.018131114,12.14943984
4,B4R1,5.90625,u18,red,5,32392.67,31793.095,27928.587,92114.352,0.30319474,0.345148115,0.351657145,0.39361052,0.435121199,0.004602579,-0.036912088,11.62450502
4,B4R1,5.90625,u18,red,10,44034.549,42536.609,33047.374,119618.532,0.276273028,0.355602165,0.368124807,0.447453945,0.381736536,0.008854845,-0.069884317,10.23216965
4,B4R1,5.90625,u18,red,15,37831.764,35637.711,23743.71,97213.185,0.244243721,0.36659339,0.38916289,0.511512559,0.323177891,0.015959047,-0.109112046,8.471128299
4,B4R1,5.90625,u23,red,20,40475.533,38155.743,25558.028,104189.304,0.24530376,0.366215547,0.388480693,0.50939248,0.325036414,0.015743835,-0.107813769,8.489222451
4,B4R1,5.90625,u20,red,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R1,5.90625,u15,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R2,6.09375,u20,red,0,7174.873,5653.128,4390.626,17218.627,0.254992805,0.328314679,0.416692516,0.49001439,0.342268916,0.062492567,-0.09594716,9.552099903
4,B4R2,6.09375,u8,red,5,30364.492,29808.208,25691.416,85864.116,0.299210161,0.347155592,0.353634247,0.401579677,0.42696133,0.004581101,-0.04179218,11.49226172
4,B4R2,6.09375,u26,red,10,33817.887,31733.202,20488.398,86039.487,0.238127849,0.368821376,0.393050774,0.523744301,0.31255618,0.017132772,-0.116602428,7.077408973
4,B4R2,6.09375,u9,red,15,38586.213,35751.618,21244.031,95581.862,0.222260066,0.374041866,0.403698068,0.555479867,0.285776848,0.020970101,-0.136036414,5.484123699
4,B4R2,6.09375,u1,red,20,39697.249,36824,21927.919,98449.168,0.222733411,0.374040744,0.403225845,0.554533178,0.286559868,0.020636983,-0.135456688,5.637854878
4,B4R2,6.09375,u6,red,25,38574.7,35022.971,17465.368,91063.039,0.191794258,0.384601386,0.423604356,0.616411484,0.237308705,0.027579265,-0.173349257,5.214018894
4,B4R2,6.09375,u20,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R3,8.5,u9,red,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R3,8.5,u24,red,5,30032.626,29148.433,22310.464,81491.523,0.273776501,0.357686688,0.368536811,0.452446999,0.376986563,0.007672195,-0.072941925,9.675058185
4,B4R3,8.5,u22,red,10,31517.178,29046.502,13448.693,74012.373,0.181708712,0.392454678,0.42583661,0.636582575,0.222058716,0.02360459,-0.185701477,4.10819303
4,B4R3,8.5,u7,red,15,37268.548,35310.019,21701.261,94279.828,0.23017926,0.374523583,0.395297157,0.539641481,0.299003713,0.014689135,-0.126337423,6.37076135
4,B4R3,8.5,u25,red,20,40451.162,36874.114,17136.691,94461.967,0.181413658,0.390359371,0.428226971,0.637172683,0.221618233,0.026776437,-0.186062843,3.849760066
4,B4R3,8.5,u23,red,25,49113.14,45636.723,26407.409,121157.272,0.217959752,0.376673412,0.405366836,0.564080495,0.278706567,0.020289315,-0.141303202,6.854183189
4,B4R3,8.5,u3,red,30,51471.107,47601.885,26775.294,125848.286,0.212758511,0.378248179,0.40899331,0.574482977,0.270258256,0.02174009,-0.147673395,6.644124418
4,B4R4,6.625,u18,red,0,6915.158,5744.417,5059.051,17718.626,0.285521631,0.32420217,0.390276199,0.428956737,0.399622499,0.046721394,-0.058557137,11.08486505
4,B4R4,6.625,u5,red,5,23084.702,22033.764,14670.501,59788.967,0.245371374,0.368525584,0.386103041,0.509257251,0.325155137,0.012429139,-0.107730958,7.087318523
4,B4R4,6.625,u8,red,10,27409.218,26304.533,18068.793,71782.544,0.251715696,0.366447489,0.381836815,0.496568609,0.336390452,0.010881897,-0.099960783,8.948351789
4,B4R4,6.625,u6,red,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R4,6.625,u10,red,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R4,6.625,u16,red,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B4R4,6.625,u1,red,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,B5R1,7.375,u4,red,0,7681.489,6301.924,4948.689,18932.102,0.261391419,0.332869747,0.405738834,0.477217163,0.353897078,0.051526226,-0.088110491,9.14725147
5,B5R1,7.375,u14,red,5,18215.795,17661.447,13340.612,49217.854,0.271052289,0.358842281,0.37010543,0.457895421,0.371840511,0.007964249,-0.076278389,9.159623426
5,B5R1,7.375,u11,red,10,55734.474,52670.122,32990.306,141394.902,0.233320336,0.372503685,0.39417598,0.533359329,0.304325713,0.015324627,-0.122490406,6.031676194
5,B5R1,7.375,u1,red,15,59143.184,57866.547,47736.276,164746.007,0.289756801,0.351247038,0.358996161,0.420486398,0.407968428,0.005479457,-0.053370134,9.36804853
5,B5R1,7.375,u19,red,20,43737.833,42944.119,36263.596,122945.548,0.294956561,0.349293811,0.355749628,0.410086878,0.418352323,0.004564952,-0.047001755,10.32140697
5,B5R1,7.375,u22,red,25,46707.298,45791.113,39420.552,131918.963,0.298823998,0.347115471,0.35406053,0.402352003,0.426175451,0.004910898,-0.042265131,11.04580956
5,B5R1,7.375,u11,red,30,49795.356,48690.405,42336.789,140822.55,0.300639273,0.34575716,0.353603567,0.398721455,0.429877259,0.005548247,-0.040041883,9.711153873
5,B5R2,7.8125,u25,red,0,4280.932,3310.714,2944.082,10535.728,0.279437928,0.314236852,0.40632522,0.441124144,0.38780549,0.06511631,-0.066008122,10.45531339
5,B5R2,7.8125,u12,red,5,13030.317,12086.996,7152.885,32270.198,0.221656062,0.374555991,0.403787947,0.556687877,0.284779069,0.020670114,-0.136776166,5.608992091
5,B5R2,7.8125,u19,red,10,32980.87,30775.456,16171.564,79927.89,0.202326922,0.385040266,0.412632812,0.595346155,0.253646422,0.019510877,-0.16044943,4.995590351
5,B5R2,7.8125,u17,red,15,39071.879,35713.367,15173.931,89959.177,0.168675743,0.396995262,0.434328996,0.662648514,0.202900061,0.026398937,-0.20166354,2.283101014
