ID,jnd,morph,seaweed
126,7.964725149,R,lettuce
127,4.50614432,R,lettuce
128,6.617248948,R,lettuce
65,1.987340728,R,dulse
66,1.409498098,R,dulse
67,2.793110956,R,dulse
68,1.622900384,R,dulse
69,1.814822775,R,dulse
70,1.460838734,R,dulse
71,1.342742693,R,dulse
72,0.278482362,R,dulse
73,2.07562026,R,dulse
74,0.68229021,R,dulse
75,2.587905319,R,dulse
76,0.66822273,R,dulse
77,1.098265331,R,dulse
78,1.526924057,R,dulse
79,2.832250111,R,dulse
80,2.12065586,R,dulse
81,2.113055925,R,dulse
82,1.686776023,R,dulse
83,1.300228779,R,dulse
84,2.103416456,R,dulse
85,1.921899269,R,dulse
86,0.540886254,R,dulse
87,1.828422778,R,dulse
88,2.669628614,R,dulse
89,3.312025551,R,dulse
90,0.511606766,R,dulse
91,0.765265754,R,dulse
92,0.640443241,R,dulse
93,2.152673091,R,dulse
94,1.08880028,R,dulse
95,0.638299699,R,dulse
96,0.268022368,R,dulse
97,1.800243839,R,dulse
98,1.180905759,R,dulse
99,1.205786839,R,dulse
100,1.102839034,R,dulse
101,1.085353047,R,dulse
102,1.431520095,R,dulse
103,2.951399527,R,dulse
104,5.829376065,R,dulse
105,3.976675876,R,dulse
106,2.937674747,R,dulse
107,3.73248327,R,dulse
108,4.118499419,R,dulse
109,5.27094159,R,dulse
110,6.327306385,R,dulse
111,4.575473169,R,dulse
112,4.099023828,R,dulse
113,4.33146548,R,dulse
114,4.446847896,R,dulse
115,4.133965849,R,dulse
116,5.65735986,R,dulse
117,3.150472271,R,dulse
118,4.49221244,R,dulse
119,2.363997393,R,dulse
120,3.457557936,R,dulse
121,3.174520721,R,dulse
122,3.46632043,R,dulse
123,3.260629306,R,dulse
124,2.854980362,R,dulse
125,4.197356434,R,dulse
126,4.875147668,R,dulse
127,1.131713905,R,dulse
128,2.275046122,R,dulse
