batch,prawn.id,size,algae.id,colour,day,swMean,lwMean,sum(sml),ppn(sw),ppn(lw),hue_sam,hue,jnd
3,B3G2,6.21875,p22,green,20,20926.041,35322.91,56248.951,0.372025445,0.627974555,0.255949111,0.592421208,7.187326468
3,B3G2,6.21875,p19,green,25,31705.449,44616.737,76322.186,0.415415892,0.584584108,0.169168215,0.710617834,4.496453904
3,B3G2,6.21875,p12,green,30,38408.574,47245.354,85653.928,0.448415792,0.551584208,0.103168415,0.81295981,2.611114213
3,B3G3,13.375,p12,green,0,1909.243,8186.358,10095.601,0.189116329,0.810883671,0.621767342,0.233222515,16.98700717
3,B3G3,13.375,p24,green,5,1546.755,8267.028,9813.783,0.157610475,0.842389525,0.68477905,0.187099282,19.50602831
3,B3G3,13.375,p24,green,10,3063.294,9480.562,12543.856,0.244206726,0.755793274,0.511586549,0.323113123,14.34704362
3,B3G3,13.375,p14,green,15,3967.559,9540.958,13508.517,0.293707962,0.706292038,0.412584076,0.415844929,11.36663463
3,B3G3,13.375,p8,green,20,8005.842,17449.95,25455.792,0.31449982,0.68550018,0.37100036,0.458788822,9.968420303
3,B3G3,13.375,p7,green,25,3187.904,7579.719,10767.623,0.296063857,0.703936143,0.407872285,0.420583402,11.09194598
3,B3G3,13.375,p10,green,30,7771.64,12634.613,20406.253,0.380846008,0.619153992,0.238307983,0.615107087,6.765466938
3,B3G4,8.59375,p21,green,0,2229.056,9414.266,11643.322,0.191445019,0.808554981,0.617109962,0.236774274,17.90059462
3,B3G4,8.59375,p12,green,5,2695.289,11092.096,13787.385,0.1954895,0.8045105,0.609021,0.242991857,16.51458052
3,B3G4,8.59375,p12,green,10,12423.232,28192.905,40616.137,0.305869364,0.694130636,0.388261272,0.440651008,10.59822563
3,B3G4,8.59375,p5,green,15,12147.309,22259.682,34406.991,0.353047699,0.646952301,0.293904602,0.545709009,8.041243843
3,B3G4,8.59375,p20,green,20,14963.399,28881.446,43844.845,0.341280691,0.658719309,0.317438618,0.518097293,8.715979116
3,B3G4,8.59375,p3,green,25,15783.386,26949.338,42732.724,0.369351273,0.630648727,0.261297454,0.585668783,6.801489481
3,B3G4,8.59375,p22,green,30,23149.514,35987.062,59136.576,0.391458477,0.608541523,0.217083045,0.643273241,6.239228484
4,B4G1,6.125,p6,green,0,2344.599,10250.547,12595.146,0.186150998,0.813849002,0.627698004,0.22872916,17.46845233
4,B4G1,6.125,p11,green,5,3068.883,11184.917,14253.8,0.215302796,0.784697204,0.569394407,0.274376913,16.25839394
4,B4G1,6.125,p11,green,10,NA,NA,NA,NA,NA,NA,NA,NA
4,B4G1,6.125,p3,green,15,19834.855,27650.92,47485.775,0.417700985,0.582299015,0.16459803,0.717330743,4.466895498
4,B4G1,6.125,p19,green,20,24272.985,33680.049,57953.034,0.4188389,0.5811611,0.1623222,0.72069328,4.334366939
4,B4G1,6.125,p17,green,25,25187.292,34193.178,59380.47,0.424167946,0.575832054,0.151664108,0.736617462,4.68277452
4,B4G1,6.125,p2,green,30,24944.096,34698.706,59642.802,0.418224751,0.581775249,0.163550499,0.718876837,4.922364699
4,B4G2,9.4375,p16,green,0,2530.611,11692.333,14222.944,0.177924556,0.822075444,0.644150887,0.216433367,18.96044688
4,B4G2,9.4375,p5,green,5,18413.148,26335.967,44749.115,0.411475132,0.588524868,0.177049736,0.699163543,5.188387817
4,B4G2,9.4375,p5,green,10,25080.829,33555.317,58636.146,0.427736656,0.572263344,0.144526688,0.747447238,3.914724758
4,B4G2,9.4375,p1,green,15,25240.324,34470.553,59710.877,0.422708981,0.577291019,0.154582037,0.732228578,4.658843665
4,B4G2,9.4375,p24,green,20,31527.67,39869.557,71397.227,0.441581156,0.558418844,0.116837689,0.790770512,2.911853689
4,B4G2,9.4375,p14,green,25,29763.467,40816.663,70580.13,0.421697537,0.578302463,0.156604925,0.72919893,4.900657479
4,B4G2,9.4375,p9,green,30,23395.91,35087.661,58483.571,0.400042432,0.599957568,0.199915135,0.666784543,5.653846906
4,B4G3,7,p3,green,0,5792.169,20435.328,26227.497,0.220843377,0.779156623,0.558313247,0.283439003,15.15698424
4,B4G3,7,p23,green,5,21916.768,29429.097,51345.865,0.426845823,0.573154177,0.146308354,0.744731243,4.589568911
4,B4G3,7,p23,green,10,27327.478,34466.382,61793.86,0.442236138,0.557763862,0.115527724,0.792873415,3.794415759
4,B4G3,7,p12,green,15,45131.257,51098.313,96229.57,0.468995726,0.531004274,0.062008549,0.883224012,1.656736128
4,B4G3,7,p5,green,20,37991.214,44512.244,82503.458,0.460480263,0.539519737,0.079039475,0.853500309,2.892032266
4,B4G3,7,p21,green,25,32541.76,37747.037,70288.797,0.462972214,0.537027786,0.074055571,0.862101044,3.023013915
4,B4G3,7,p18,green,30,NA,NA,NA,NA,NA,NA,NA,NA
4,B4G4,9.1875,p22,green,0,5400.52,18740.298,24140.818,0.223709072,0.776290928,0.552581855,0.288176848,15.48394557
4,B4G4,9.1875,p4,green,5,6129.667,21759.925,27889.592,0.219783316,0.780216684,0.560433369,0.281695226,15.20024918
4,B4G4,9.1875,p4,green,10,7292.002,23105.78,30397.782,0.239885989,0.760114011,0.520228022,0.315592116,14.42301333
4,B4G4,9.1875,p19,green,15,8599.956,24123.496,32723.452,0.262807115,0.737192885,0.474385771,0.356497085,12.43807816
4,B4G4,9.1875,p15,green,20,17087.203,29676.173,46763.376,0.365397122,0.634602878,0.269205756,0.57578863,7.314756173
4,B4G4,9.1875,p26,green,25,23075.837,31028.6,54104.437,0.426505445,0.573494555,0.146989109,0.743695719,4.527055966
4,B4G4,9.1875,p19,green,30,23875.869,35487.407,59363.276,0.402199316,0.597800684,0.195601368,0.672798354,5.12607835
5,B5G1,9.375,p10,green,0,2824.012,9864.105,12688.117,0.222571403,0.777428597,0.554857194,0.286291762,15.57027686
5,B5G1,9.375,p20,green,5,1789.86,10094.101,11883.961,0.1506114,0.8493886,0.698777201,0.177317425,21.06024287
5,B5G1,9.375,p20,green,10,4871.57,17229.582,22101.152,0.220421542,0.779578458,0.559156916,0.282744526,15.85780513
5,B5G1,9.375,p13,green,15,4604.228,13834.19,18438.418,0.249708408,0.750291592,0.500583185,0.332815149,13.58272842
5,B5G1,9.375,p9,green,20,4369.749,12424.748,16794.497,0.260189335,0.739810665,0.479621331,0.351697193,13.01853859
5,B5G1,9.375,p2,green,25,7007.757,15920.797,22928.554,0.305634494,0.694365506,0.388731012,0.440163705,10.569888
5,B5G1,9.375,p20,green,30,5090.392,12307.74,17398.132,0.292582675,0.707417325,0.41483465,0.413592747,11.30959542
5,B5G2,6.90625,p5,green,0,8765.598,21760.638,30526.236,0.287149651,0.712850349,0.425700699,0.40281898,11.5365114
5,B5G2,6.90625,p3,green,5,17644.866,22768.194,40413.06,0.436612966,0.563387034,0.126774068,0.774978727,3.576973284
5,B5G2,6.90625,p3,green,10,41694.438,48887.468,90581.906,0.460295437,0.539704563,0.079409126,0.852865565,2.992248698
5,B5G2,6.90625,p16,green,15,42206.807,47457.053,89663.86,0.470722619,0.529277381,0.058554762,0.889368478,2.690236464
5,B5G2,6.90625,p26,green,20,31529.251,36656.738,68185.989,0.462400729,0.537599271,0.075198543,0.860121569,2.852615165
5,B5G2,6.90625,p6,green,25,34009.815,38471.937,72481.752,0.469218997,0.530781003,0.061562005,0.884016186,1.903885461
5,B5G2,6.90625,p15,green,30,NA,NA,NA,NA,NA,NA,NA,NA
5,B5G3,7,p20,green,0,5697.479,14269.87,19967.349,0.285339781,0.714660219,0.429320437,0.399266356,11.71545626
5,B5G3,7,p14,green,5,6536.497,18722.523,25259.02,0.258778725,0.741221275,0.482442549,0.349124795,13.38002608
5,B5G3,7,p14,green,10,35531.152,45720.892,81252.044,0.437295485,0.562704515,0.12540903,0.777131645,4.099281044
5,B5G3,7,p20,green,15,30639.807,42091.416,72731.223,0.421274464,0.578725536,0.157451072,0.727934812,4.801072045
5,B5G3,7,p6,green,20,26182.095,33736.744,59918.839,0.436959318,0.563040682,0.126081365,0.776070595,3.403218032
5,B5G3,7,p10,green,25,34466.185,40885.498,75351.683,0.457404316,0.542595684,0.085191369,0.842992912,3.137070427
5,B5G3,7,p24,green,30,32780.994,38137.443,70918.437,0.462235145,0.537764855,0.07552971,0.859548817,1.951688934
